scenario_label,chair_to_bed_rate,bed_to_chair_rate,rr,ci_lower,ci_upper,p_value,n_events,model_notes
symmetric_swap_10pct,0.1,0.1,4.4868972844161705,1.8471949318150416,10.898821176993698,0.0009155581675320985,40.0,
symmetric_swap_20pct,0.2,0.2,7.812480758751418,3.35532732060232,18.19043263859714,1.8668719707190141e-06,40.0,
symmetric_swap_30pct,0.3,0.3,13.169035243702105,5.720089238650869,30.318318825874044,1.3684840771676647e-09,40.0,
chair_to_bed_20pct,0.2,0.0,,,,,40.0,insufficient_data
bed_to_chair_20pct,0.0,0.2,9.63777274750208,4.1702526019118675,22.27363001701853,1.151447945431992e-07,40.0,
