threshold_hours,eligible_units,analysis_rows,rr,ci_lower,ci_upper,p_value,n_events,model_notes
4,3980,5897,2.350735126205394,0.873360182960128,6.327235591215599,0.09065404218584926,40.0,
12,3437,5885,2.391923488289592,0.8840276820594456,6.471853868312153,0.08592952828899279,38.0,
24,2824,5847,2.429100383410236,0.8902040864522803,6.628287560663826,0.08311133861927902,36.0,
48,1948,5649,2.424621450083806,0.841940957299162,6.982424509985707,0.10075739133837221,30.0,
